"Subfamily","Tribe","Genus","Species","Taxon","FL","GA","SpeciesGroup","Binomial","BinomialAuthority","Subspecies","Trinomial","TrinomialAuthority","Author","Year","ChangedComb","TypeLocalityCountry","Images","Text","Source","DBB_Notes","MPN_Notes","NCBI.ID","nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","GB"
"Formicinae","Lasiini","Lasius","umbratus","Lasius umbratus",1,1,"",NA,"(Nylander, 1846)","Nylander",1846,"Yes","Finland","Present","Present","http://www.antwiki.org/wiki/Lasius umbratus",NA,NA,NA,"",NA,262031,NA,NA,NA,"LT977318",NA,"EF191428",NA,NA,NA,NA,"LT977247",NA,1
"Formicinae","Lasiini","Nylanderia","arenivaga","Nylanderia arenivaga",1,1,"",NA,"(Wheeler, W.M., 1905)","Wheeler, W.M.",1905,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Nylanderia arenivaga",NA,NA,NA,"",NA,262033,NA,NA,NA,"JX425976",NA,NA,"JX426003","JX425950","JX425895","JX425921",NA,NA,1
"Formicinae","Lasiini","Nylanderia","bourbonica","Nylanderia bourbonica",1,1,"",NA,"(Forel, 1886)","Forel",1886,"Yes","R√©union","Present","Present","http://www.antwiki.org/wiki/Nylanderia bourbonica",NA,NA,NA,"",NA,262034,NA,"EU490452",NA,"KP232898","KP232678","KP232102","JX426023","KP232642","JX425912","KP231876",NA,NA,1
"Formicinae","Lasiini","Nylanderia","concinna","Nylanderia concinna",1,1,"",NA,"(Trager, 1984)","Trager",1984,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Nylanderia concinna",NA,NA,NA,"",NA,613892,NA,NA,NA,"FJ982531",NA,"FJ982447","FJ982493","FJ982573",NA,"FJ982616",NA,NA,1
"Formicinae","Lasiini","Nylanderia","faisonensis","Nylanderia faisonensis",1,1,"",NA,"(Forel, 1922)","Forel",1922,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Nylanderia faisonensis",NA,NA,NA,"",NA,613901,NA,NA,NA,"FJ982534",NA,"FJ982450","FJ982496","FJ982576",NA,"FJ982619",NA,NA,1
"Formicinae","Lasiini","Nylanderia","fulva","Nylanderia fulva",1,1,"",NA,"(Mayr, 1862)","Mayr",1862,"Yes","Brazil","Present","Present","http://www.antwiki.org/wiki/Nylanderia fulva",NA,NA,NA,"",NA,613905,NA,NA,NA,"JX425999",NA,"MF925786","JX426027","JX425971","JX425916","JX425945",NA,NA,1
"Formicinae","Lasiini","Nylanderia","parvula","Nylanderia parvula",1,1,"",NA,"(Mayr, 1870)","Mayr",1870,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Nylanderia parvula",NA,NA,NA,"",NA,613968,NA,NA,NA,"FJ982541",NA,"FJ982458","FJ982503","FJ982583",NA,"FJ982627",NA,NA,1
"Formicinae","Lasiini","Nylanderia","phantasma","Nylanderia phantasma",1,1,"",NA,"(Trager, 1984)","Trager",1984,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Nylanderia phantasma",NA,NA,NA,"",NA,613970,NA,NA,NA,"FJ982544",NA,"FJ982461","FJ982506","FJ982586","JN562408","FJ982630",NA,NA,1
"Formicinae","Lasiini","Nylanderia","pubens","Nylanderia pubens",1,0,"",NA,"(Forel, 1893)","Forel",1893,"Yes","Antilles","Present","Present","http://www.antwiki.org/wiki/Nylanderia pubens",NA,NA,NA,"",NA,613973,NA,NA,NA,"JX425988",NA,NA,"JX426029","JX425973","JX425918","JX425947",NA,NA,1
"Formicinae","Lasiini","Nylanderia","steinheili","Nylanderia steinheili",1,0,"",NA,"(Forel, 1893)","Forel",1893,"Yes","Antilles","Present","","http://www.antwiki.org/wiki/Nylanderia steinheili",NA,NA,NA,"",NA,613986,NA,NA,NA,"JX425994",NA,NA,"JX426022","JX425966","JX425911","JX425940",NA,NA,1
"Formicinae","Lasiini","Nylanderia","vividula","Nylanderia vividula",1,1,"",NA,"(Nylander, 1846)","Nylander",1846,"Yes","Sweden","Present","","http://www.antwiki.org/wiki/Nylanderia vividula",NA,NA,NA,"",NA,443831,NA,"EU417926",NA,"FJ982550",NA,"FJ982467","FJ982512","FJ982592","JN562411","FJ982635",NA,NA,1
"Formicinae","Lasiini","Nylanderia","wojciki","Nylanderia wojciki",1,1,"",NA,"(Trager, 1984)","Trager",1984,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Nylanderia wojciki",NA,NA,NA,"",NA,614011,NA,NA,NA,"FJ982551",NA,"FJ982468","FJ982513","FJ982593",NA,"FJ982637",NA,NA,1
"Formicinae","Lasiini","Paratrechina","longicornis","Paratrechina longicornis",1,1,"",NA,"(Latreille, 1802)","Latreille",1802,"Yes","Senegal","Present","Present","http://www.antwiki.org/wiki/Paratrechina longicornis",NA,NA,NA,"",NA,262035,"KT443352","KT443410","KT443468","KP232871","KP232664","FJ982475","FJ982517","KP232614","KT443600","KP231943","KT443680","KT443760",1
"Formicinae","Lasiini","Prenolepis","imparis","Prenolepis imparis",1,1,"",NA,"(Say, 1836)","Say",1836,"Yes","Mexico","Present","Present","http://www.antwiki.org/wiki/Prenolepis imparis",NA,NA,NA,"",NA,262038,"EF012919","EF013047","EF013175","FJ982559","EF013627","FJ982479","FJ982518","FJ982601","KT443610","FJ982648","KT443690","KT443770",1
"Formicinae","Myrmelachistini","Brachymyrmex","depilis","Brachymyrmex depilis",1,1,"",NA,"Emery, 1893","Emery",1893,"","United States","Present","","http://www.antwiki.org/wiki/Brachymyrmex depilis",NA,NA,NA,"",NA,354278,"EF012844","EF012972","EF013100","EF013680","EF013552","KR898675","EF013233","EF013395","KT443552",NA,"KT443632","KT443712",1
"Formicinae","Myrmelachistini","Brachymyrmex","heeri","Brachymyrmex heeri",1,0,"",NA,"Forel, 1874","Forel",1874,"","Switzerland","Present","Present","http://www.antwiki.org/wiki/Brachymyrmex heeri",NA,NA,NA,"",NA,604545,NA,NA,NA,NA,NA,"KC418295",NA,NA,NA,NA,NA,NA,1
"Formicinae","Myrmelachistini","Brachymyrmex","minutus","Brachymyrmex minutus",1,0,"",NA,"Forel, 1893","Forel",1893,"","Antilles","Present","","http://www.antwiki.org/wiki/Brachymyrmex minutus",NA,NA,NA,"not important",NA,NA,NA,NA,NA,"MK634469",NA,"MK634391","MK634412","MK634432",NA,NA,NA,NA,1
"Formicinae","Myrmelachistini","Brachymyrmex","obscurior","Brachymyrmex obscurior",1,0,"",NA,"Forel, 1893","Forel",1893,"","Antilles","Present","Present","http://www.antwiki.org/wiki/Brachymyrmex obscurior",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,"HQ925273",NA,NA,NA,NA,NA,NA,1
"Formicinae","Myrmelachistini","Brachymyrmex","patagonicus","Brachymyrmex patagonicus",1,1,"",NA,"Mayr, 1868","Mayr",1868,"","Argentina","Present","Present","http://www.antwiki.org/wiki/Brachymyrmex patagonicus",NA,NA,NA,"",NA,NA,NA,NA,NA,"MK634463",NA,"MK634381",NA,"MK634434",NA,NA,NA,NA,1
"Myrmicinae","Attini","Cephalotes","varians","Cephalotes varians",1,0,"",NA,"(Smith, F., 1876)","Smith, F.",1876,"Yes","Cuba","Present","Present","http://www.antwiki.org/wiki/Cephalotes varians",NA,NA,NA,"",NA,577618,NA,NA,NA,"KC335616","KC335934","KC335769",NA,"KC208553",NA,NA,NA,NA,1
"Myrmicinae","Attini","Cyphomyrmex","minutus","Cyphomyrmex minutus",1,0,"",NA,"Mayr, 1862","Mayr",1862,"","Cuba","Present","Present","http://www.antwiki.org/wiki/Cyphomyrmex minutus",NA,NA,NA,"","Dropped EF1aF1 - was not aligning well EU204342",34701,NA,NA,NA,"EU204189",NA,"JQ617495",NA,"EU204583",NA,NA,"KY828537",NA,1
"Myrmicinae","Attini","Cyphomyrmex","rimosus","Cyphomyrmex rimosus",1,1,"",NA,"(Spinola, 1851)","Spinola",1851,"Yes","Brazil","Present","Present","http://www.antwiki.org/wiki/Cyphomyrmex rimosus",NA,NA,NA,"","Dropped EF1aF1 - was not aligning well EU204299",34702,NA,NA,NA,"EU204146",NA,"JQ617506",NA,NA,NA,NA,"KY828540",NA,1
"Myrmicinae","Attini","Eurhopalothrix","australis","Eurhopalothrix australis",0,0,"",NA,"Brown & Kempf, 1960","Brown & Kempf",1960,"","Australia","Present","Present","http://www.antwiki.org/wiki/Eurhopalothrix australis",NA,NA,NA,"need representative for genus","Alternate for Eurhopalothrix floridana",609687,"KJ860108","KJ859920","KJ861196","KJ861808","KJ861381",NA,"KJ860537","KJ859733","KJ860977","KJ860737","KJ861579","KJ860308",1
"Myrmicinae","Attini","Eurhopalothrix","floridana","Eurhopalothrix floridana",1,1,"",NA,"Brown & Kempf, 1960","Brown & Kempf",1960,"","United States","Present","Present","http://www.antwiki.org/wiki/Eurhopalothrix floridana",NA,NA,NA,"need representative for genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Pheidole","adrianoi","Pheidole adrianoi",1,1,"",NA,"Naves, 1985","Naves",1985,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole adrianoi",NA,NA,NA,"",NA,458891,NA,NA,NA,NA,"EF518935","EF518306",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","bicarinata","Pheidole bicarinata",1,1,"",NA,"Mayr, 1870","Mayr",1870,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole bicarinata",NA,NA,NA,"",NA,458899,NA,NA,NA,NA,"KJ141537","KJ141786",NA,NA,NA,"KJ141339","KJ141211",NA,1
"Myrmicinae","Attini","Pheidole","bilimeki","Pheidole bilimeki",0,1,"",NA,"Mayr, 1870","Mayr",1870,"","Mexico","Present","Present","http://www.antwiki.org/wiki/Pheidole bilimeki",NA,NA,NA,"",NA,458901,NA,NA,NA,NA,NA,"EF518316",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","carrolli","Pheidole carrolli",1,0,"",NA,"Naves, 1985","Naves",1985,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole carrolli",NA,NA,NA,"",NA,458908,NA,NA,NA,NA,"EF518948","EF518322",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","crassicornis","Pheidole crassicornis",1,1,"",NA,"Emery, 1895","Emery",1895,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole crassicornis",NA,NA,NA,"",NA,458921,NA,NA,NA,NA,"EF518962",NA,NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","davisi","Pheidole davisi",0,1,"",NA,"Wheeler, W.M., 1905","Wheeler, W.M.",1905,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole davisi",NA,NA,NA,"",NA,458922,NA,NA,NA,NA,"EF518963","EF518337",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","dentata","Pheidole dentata",1,1,"",NA,"Mayr, 1886","Mayr",1886,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole dentata",NA,NA,NA,"",NA,458923,NA,NA,NA,NA,"EF518964","EF518338",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","dentigula","Pheidole dentigula",1,1,"",NA,"Smith, M.R., 1927","Smith, M.R.",1927,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole dentigula",NA,NA,NA,"need representative for this species",NA,NA,NA,NA,NA,NA,NA,"Manual",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","diversipilosa","Pheidole diversipilosa",1,0,"",NA,"Wheeler, W.M., 1908","Wheeler, W.M.",1908,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole diversipilosa",NA,NA,NA,"",NA,458926,NA,NA,NA,NA,"EF518967","EF518341",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","flavens","Pheidole flavens",1,0,"",NA,"Roger, 1863","Roger",1863,"","Cuba","Present","Present","http://www.antwiki.org/wiki/Pheidole flavens",NA,NA,NA,"",NA,458933,NA,NA,NA,NA,"EF518973","EF518348",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","floridana","Pheidole floridana",1,1,"",NA,"Emery, 1895","Emery",1895,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole floridana",NA,NA,NA,"this is bilimeki, we should check genetic ",NA,458934,NA,NA,NA,NA,"EF518974","EF518349",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","lamia","Pheidole lamia",1,1,"",NA,"Wheeler, W.M., 1901","Wheeler, W.M.",1901,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole lamia",NA,NA,NA,"need representative for this species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Pheidole","littoralis","Pheidole littoralis",1,1,"",NA,"Cole, 1952","Cole",1952,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole littoralis",NA,NA,NA,"",NA,458949,NA,NA,NA,NA,"EF518987","EF518363",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","megacephala","Pheidole megacephala",1,0,"",NA,"(Fabricius, 1793)","Fabricius",1793,"Yes","Mauritius","Present","Present","http://www.antwiki.org/wiki/Pheidole megacephala",NA,NA,NA,"",NA,300850,NA,"EU439647",NA,"KM579275","KM597330","KJ141874",NA,NA,NA,"KJ141363","KJ141235",NA,1
"Myrmicinae","Attini","Pheidole","metallescens","Pheidole metallescens",1,1,"",NA,"Emery, 1895","Emery",1895,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole metallescens",NA,NA,NA,"",NA,458952,NA,NA,NA,NA,"EF518990","EF518367",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","moerens","Pheidole moerens",1,1,"",NA,"Wheeler, W.M., 1908","Wheeler, W.M.",1908,"","Puerto Rico","Present","Present","http://www.antwiki.org/wiki/Pheidole moerens",NA,NA,NA,"",NA,458956,NA,NA,NA,NA,"EF518994","EF518371",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","morrisii","Pheidole morrisii",1,1,"",NA,"Forel, 1886","Forel",1886,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole morrisii",NA,NA,NA,"",NA,615237,NA,NA,NA,"AY101369","JN205086","JN205097",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","navigans","Pheidole navigans",0,1,"",NA,"Forel, 1901","Forel",1901,"","Mexico","Present","","http://www.antwiki.org/wiki/Pheidole navigans",NA,NA,NA,"this is moerens, we should check genetic data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Pheidole","obscurithorax","Pheidole obscurithorax",1,1,"",NA,"Naves, 1985","Naves",1985,"","Argentina","Present","Present","http://www.antwiki.org/wiki/Pheidole obscurithorax",NA,NA,NA,"",NA,458959,NA,NA,NA,NA,"EF518999","EF518376",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","pilifera","Pheidole pilifera",0,1,"",NA,"(Roger, 1863)","Roger",1863,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole pilifera",NA,NA,NA,"",NA,458965,NA,NA,NA,NA,"EF519007","EF518384",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Pheidole","tetra","Pheidole tetra",0,1,"",NA,"Creighton, 1950","Creighton",1950,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole tetra",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Pheidole","tysoni","Pheidole tysoni",1,1,"",NA,"Forel, 1901","Forel",1901,"","United States","Present","Present","http://www.antwiki.org/wiki/Pheidole tysoni",NA,NA,NA,"",NA,459018,NA,NA,NA,NA,"KJ141541","KJ141790",NA,NA,NA,"KJ141343","KJ141215",NA,1
"Myrmicinae","Attini","Strumigenys","abdita","Strumigenys abdita",0,1,"",NA,"Wesson, L.G. & Wesson, R.G., 1939","Wesson, L.G. & Wesson, R.G.",1939,"","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys abdita",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","angulata","Strumigenys angulata",1,1,"",NA,"Smith, M.R., 1931","Smith, M.R.",1931,"","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys angulata",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","apalachicolensis","Strumigenys apalachicolensis",1,1,"",NA,"(Deyrup & Lubertazzi, 2001)","Deyrup & Lubertazzi",2001,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys apalachicolensis",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","archboldi","Strumigenys archboldi",1,1,"",NA,"(Deyrup & Cover, 1998)","Deyrup & Cover",1998,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys archboldi",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","boltoni","Strumigenys boltoni",1,1,"",NA,"(Deyrup, 2006)","Deyrup",2006,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys boltoni",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","bunki","Strumigenys bunki",1,1,"",NA,"(Brown, 1950)","Brown",1950,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys bunki",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","carolinensis","Strumigenys carolinensis",1,1,"",NA,"(Brown, 1964)","Brown",1964,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys carolinensis",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","cloydi","Strumigenys cloydi",1,0,"",NA,"(Pfitzer, 1951)","Pfitzer",1951,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys cloydi",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","clypeata","Strumigenys clypeata",1,1,"",NA,"Roger, 1863","Roger",1863,"","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys clypeata",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","creightoni","Strumigenys creightoni",1,1,"",NA,"Smith, M.R., 1931","Smith, M.R.",1931,"","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys creightoni",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","deyrupi","Strumigenys deyrupi",0,1,"",NA,"(Bolton, 2000)","Bolton",2000,"Yes","United States","Present","","http://www.antwiki.org/wiki/Strumigenys deyrupi",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","dietrichi","Strumigenys dietrichi",1,1,"",NA,"Smith, M.R., 1931","Smith, M.R.",1931,"","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys dietrichi",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","eggersi","Strumigenys eggersi",1,1,"",NA,"Emery, 1890","Emery",1890,"","Lesser Antilles","Present","Present","http://www.antwiki.org/wiki/Strumigenys eggersi",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"JN289315",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Strumigenys","emmae","Strumigenys emmae",1,0,"",NA,"(Emery, 1890)","Emery",1890,"Yes","Virgin Islands","Present","Present","http://www.antwiki.org/wiki/Strumigenys emmae",NA,NA,NA,"",NA,443846,"KJ860215","KJ860027","KJ861302","KJ861915","KJ861486","EU525224","KJ860644","KJ859839","KJ861104","KJ860871","KJ861713","KJ860442",1
"Myrmicinae","Attini","Strumigenys","filirrhina","Strumigenys filirrhina",0,1,"",NA,"(Brown, 1950)","Brown",1950,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys filirrhina",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","gundlachi","Strumigenys gundlachi",1,0,"",NA,"(Roger, 1862)","Roger",1862,"Yes","Cuba","Present","Present","http://www.antwiki.org/wiki/Strumigenys gundlachi",NA,NA,NA,"",NA,1539500,"KJ860218","KJ860030","KJ861305","KJ861918","KJ861489",NA,"KJ860647","KJ859842","KJ861108","KJ860875","KJ861717","KJ860446",1
"Myrmicinae","Attini","Strumigenys","hexamera","Strumigenys hexamera",1,0,"",NA,"(Brown, 1958)","Brown",1958,"Yes","Japan","Present","Present","http://www.antwiki.org/wiki/Strumigenys hexamera",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","hyalina","Strumigenys hyalina",0,1,"",NA,"(Bolton, 2000)","Bolton",2000,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys hyalina",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","inopina","Strumigenys inopina",1,0,"",NA,"(Deyrup & Cover, 1998)","Deyrup & Cover",1998,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys inopina",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","laevinasis","Strumigenys laevinasis",1,1,"",NA,"Smith, M.R., 1931","Smith, M.R.",1931,"","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys laevinasis",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","lanuginosa","Strumigenys lanuginosa",1,0,"",NA,"Wheeler, W.M., 1905","Wheeler, W.M.",1905,"","Bahamas","Present","Present","http://www.antwiki.org/wiki/Strumigenys lanuginosa",NA,NA,NA,"",NA,625687,NA,NA,NA,NA,NA,"KM224752",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Strumigenys","louisianae","Strumigenys louisianae",1,1,"",NA,"Roger, 1863","Roger",1863,"","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys louisianae",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"JF863530",NA,NA,NA,NA,NA,NA,1
"Myrmicinae","Attini","Strumigenys","margaritae","Strumigenys margaritae",1,1,"",NA,"Forel, 1893","Forel",1893,"","Antilles","Present","Present","http://www.antwiki.org/wiki/Strumigenys margaritae",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","membranifera","Strumigenys membranifera",1,1,"",NA,"Emery, 1869","Emery",1869,"","Italy","Present","Present","http://www.antwiki.org/wiki/Strumigenys membranifera",NA,NA,NA,"",NA,1539503,"KJ860221","KJ860033","KJ861308","KJ861921","KJ861492",NA,"KJ860650","KJ859845","KJ861111","KJ860878","KJ861720","KJ860449",1
"Myrmicinae","Attini","Strumigenys","metazytes","Strumigenys metazytes",0,1,"",NA,"(Bolton, 2000)","Bolton",2000,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys metazytes",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Myrmicinae","Attini","Strumigenys","missouriensis","Strumigenys missouriensis",1,1,"",NA,"Smith, M.R., 1931","Smith, M.R.",1931,"","United States","Present","Present","http://www.antwiki.org/wiki/Strumigenys missouriensis",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
