"Taxon","Genus","Species","FL","GA","DBB_Notes","MPN_Notes"
"Anochetus mayri","Anochetus","mayri",1,0,"",NA
"Aphaenogaster ashmeadi","Aphaenogaster","ashmeadi",1,1,"",NA
"Aphaenogaster flemingi","Aphaenogaster","flemingi",1,1,"",NA
"Aphaenogaster floridana","Aphaenogaster","floridana",1,1,"",NA
"Aphaenogaster fulva","Aphaenogaster","fulva",1,1,"",NA
"Aphaenogaster lamellidens","Aphaenogaster","lamellidens",1,1,"",NA
"Aphaenogaster mariae","Aphaenogaster","mariae",1,1,"",NA
"Aphaenogaster miamiana","Aphaenogaster","miamiana",1,1,"",NA
"Aphaenogaster carolinensis","Aphaenogaster","carolinensis",1,1,"",NA
"Aphaenogaster tennesseensis","Aphaenogaster","tennesseensis",1,1,"",NA
"Aphaenogaster treatae","Aphaenogaster","treatae",1,1,"",NA
"Aphaenogaster umphreyi","Aphaenogaster","umphreyi",1,1,"",NA
"Brachymyrmex depilis","Brachymyrmex","depilis",1,1,"",NA
"Brachymyrmex heeri","Brachymyrmex","heeri",1,0,"",NA
"Brachymyrmex minutus","Brachymyrmex","minutus",1,0,"not important",NA
"Brachymyrmex obscurior","Brachymyrmex","obscurior",1,0,"not important",NA
"Brachymyrmex patagonicus","Brachymyrmex","patagonicus",1,1,"",NA
"Camponotus caryae","Camponotus","caryae",1,1,"not important",NA
"Camponotus castaneus","Camponotus","castaneus",1,1,"",NA
"Camponotus decipiens","Camponotus","decipiens",1,1,"not important",NA
"Camponotus discolor","Camponotus","discolor",1,1,"not important",NA
"Camponotus floridanus","Camponotus","floridanus",1,1,"",NA
"Colobopsis impressa","Colobopsis","impressa",1,1,"need representative for genus",NA
"Camponotus tortuganus","Camponotus","tortuganus",1,0,"",NA
"Camponotus nearcticus","Camponotus","nearcticus",1,1,"",NA
"Colobopsis obliqua","Colobopsis","obliqua",1,0,"",NA
"Camponotus pennsylvanicus","Camponotus","pennsylvanicus",1,1,"",NA
"Camponotus planatus","Camponotus","planatus",1,0,"",NA
"Colobopsis riehlii","Colobopsis","riehlii",1,0,"",NA
"Camponotus sexguttatus","Camponotus","sexguttatus",1,0,"",NA
"Camponotus snellingi","Camponotus","snellingi",1,1,"not important",NA
"Camponotus socius","Camponotus","socius",1,1,"",NA
"Cardiocondyla emeryi","Cardiocondyla","emeryi",1,0,"",NA
"Cardiocondyla mauritanica","Cardiocondyla","mauritanica",1,0,"",NA
"Cardiocondyla minutior","Cardiocondyla","minutior",1,0,"",NA
"Cardiocondyla obscurior","Cardiocondyla","obscurior",1,0,"",NA
"Cardiocondyla venustula","Cardiocondyla","venustula",1,1,"",NA
"Cardiocondyla wroughtonii","Cardiocondyla","wroughtonii",1,1,"",NA
"Cephalotes varians","Cephalotes","varians",1,0,"",NA
"Crematogaster ashmeadi","Crematogaster","ashmeadi",1,1,"common species in litter, would be great to have",NA
"Crematogaster laeviuscula","Crematogaster","laeviuscula",1,1,"not important",NA
"Crematogaster cerasi","Crematogaster","cerasi",1,1,"",NA
"Crematogaster lineolata","Crematogaster","lineolata",1,1,"",NA
"Crematogaster minutissima","Crematogaster","minutissima",1,1,"",NA
"Crematogaster missouriensis","Crematogaster","missouriensis",1,1,"not important",NA
"Crematogaster obscurata","Crematogaster","obscurata",1,0,"not important",NA
"Crematogaster pilosa","Crematogaster","pilosa",1,1,"",NA
"Crematogaster pinicola","Crematogaster","pinicola",1,1,"",NA
"Crematogaster vermiculata","Crematogaster","vermiculata",1,0,"",NA
"Cryptopone gilva","Cryptopone","gilva",1,1,"",NA
"Cyphomyrmex minutus","Cyphomyrmex","minutus",1,0,"",NA
"Cyphomyrmex rimosus","Cyphomyrmex","rimosus",1,1,"",NA
"Discothyrea testacea","Discothyrea","testacea",1,1,"",NA
"Dolichoderus mariae","Dolichoderus","mariae",1,1,"not important",NA
"Dolichoderus pustulatus","Dolichoderus","pustulatus",1,1,"not important",NA
"Dorymyrmex bossutus","Dorymyrmex","bossutus",1,1,"not important",NA
"Dorymyrmex bureni","Dorymyrmex","bureni",1,1,"not important",NA
"Dorymyrmex elegans","Dorymyrmex","elegans",1,1,"",NA
"Dorymyrmex flavopectus","Dorymyrmex","flavopectus",1,0,"not important",NA
"Dorymyrmex grandulus","Dorymyrmex","grandulus",1,1,"",NA
"Dorymyrmex smithi","Dorymyrmex","smithi",1,1,"not important",NA
"Dorymyrmex reginicula","Dorymyrmex","reginicula",1,1,"not important",NA
"Eurhopalothrix floridana","Eurhopalothrix","floridana",1,1,"need representative for genus",NA
"Forelius pruinosus","Forelius","pruinosus",1,1,"",NA
"Formica archboldi","Formica","archboldi",1,1,"not important",NA
"Formica biophilica","Formica","biophilica",1,1,"not important",NA
"Formica dolosa","Formica","dolosa",1,1,"not important",NA
"Formica pallidefulva","Formica","pallidefulva",1,1,"not important",NA
"Formica subsericea","Formica","subsericea",1,1,"",NA
"Gnamptogenys triangularis","Gnamptogenys","triangularis",1,1,"",NA
"Hypoponera inexorata","Hypoponera","inexorata",1,1,"",NA
"Hypoponera opaciceps","Hypoponera","opaciceps",1,1,"",NA
"Hypoponera opacior","Hypoponera","opacior",1,1,"",NA
"Hypoponera punctatissima","Hypoponera","punctatissima",1,0,"",NA
"Lasius alienus","Lasius","alienus",1,1,"",NA
"Lasius interjectus","Lasius","interjectus",1,1,"",NA
"Lasius neoniger","Lasius","neoniger",1,1,"",NA
"Lasius umbratus","Lasius","umbratus",1,1,"",NA
"Leptogenys manni","Leptogenys","manni",1,0,"not important",NA
"Linepithema humile","Linepithema","humile",1,1,"",NA
"Trichomyrmex destructor","Trichomyrmex","destructor",1,0,"",NA
"Monomorium ebeninum","Monomorium","ebeninum",1,0,"not important",NA
"Monomorium floricola","Monomorium","floricola",1,0,"",NA
"Monomorium pharaonis","Monomorium","pharaonis",1,1,"",NA
"Monomorium trageri","Monomorium","trageri",1,0,"not important",NA
"Monomorium viridum","Monomorium","viridum",1,1,"",NA
"Myrmecina americana","Myrmecina","americana",1,1,"",NA
"Myrmica punctiventris","Myrmica","punctiventris",1,1,"",NA
"Neivamyrmex carolinensis","Neivamyrmex","carolinensis",1,1,"not important",NA
"Neivamyrmex opacithorax","Neivamyrmex","opacithorax",1,1,"",NA
"Neivamyrmex texanus","Neivamyrmex","texanus",1,1,"not important",NA
"Nylanderia arenivaga","Nylanderia","arenivaga",1,1,"",NA
"Nylanderia bourbonica","Nylanderia","bourbonica",1,1,"",NA
"Nylanderia concinna","Nylanderia","concinna",1,1,"",NA
"Nylanderia faisonensis","Nylanderia","faisonensis",1,1,"",NA
"Nylanderia fulva","Nylanderia","fulva",1,1,"",NA
"Nylanderia parvula","Nylanderia","parvula",1,1,"",NA
"Nylanderia phantasma","Nylanderia","phantasma",1,1,"",NA
"Nylanderia pubens","Nylanderia","pubens",1,0,"",NA
"Nylanderia steinheili","Nylanderia","steinheili",1,0,"",NA
"Nylanderia vividula","Nylanderia","vividula",1,1,"",NA
"Nylanderia wojciki","Nylanderia","wojciki",1,1,"",NA
"Ochetellus glaber","Ochetellus","glaber",1,0,"",NA
"Odontomachus brunneus","Odontomachus","brunneus",1,1,"",NA
"Odontomachus haematodus","Odontomachus","haematodus",1,0,"",NA
"Odontomachus relictus","Odontomachus","relictus",1,0,"",NA
"Odontomachus ruginodis","Odontomachus","ruginodis",1,0,"",NA
"Pseudoponera stigma","Pseudoponera","stigma",1,0,"",NA
"Paratrechina longicornis","Paratrechina","longicornis",1,1,"",NA
"Pheidole adrianoi","Pheidole","adrianoi",1,1,"",NA
"Pheidole bicarinata","Pheidole","bicarinata",1,1,"",NA
"Pheidole carrolli","Pheidole","carrolli",1,0,"",NA
"Pheidole crassicornis","Pheidole","crassicornis",1,1,"",NA
"Pheidole dentata","Pheidole","dentata",1,1,"",NA
"Pheidole dentigula","Pheidole","dentigula",1,1,"need representative for this species",NA
"Pheidole diversipilosa","Pheidole","diversipilosa",1,0,"",NA
"Pheidole flavens","Pheidole","flavens",1,0,"",NA
"Pheidole floridana","Pheidole","floridana",1,1,"this is bilimeki, we should check genetic ",NA
"Pheidole lamia","Pheidole","lamia",1,1,"need representative for this species",NA
"Pheidole littoralis","Pheidole","littoralis",1,1,"",NA
"Pheidole megacephala","Pheidole","megacephala",1,0,"",NA
"Pheidole metallescens","Pheidole","metallescens",1,1,"",NA
"Pheidole moerens","Pheidole","moerens",1,1,"",NA
"Pheidole morrisii","Pheidole","morrisii",1,1,"",NA
"Pheidole obscurithorax","Pheidole","obscurithorax",1,1,"",NA
"Pheidole tysoni","Pheidole","tysoni",1,1,"",NA
"Platythyrea punctata","Platythyrea","punctata",1,0,"",NA
"Pogonomyrmex badius","Pogonomyrmex","badius",1,1,"",NA
"Polyergus longicornis","Polyergus","longicornis",1,1,"not important",NA
"Polyergus oligergus","Polyergus","oligergus",1,0,"not important",NA
"Ponera exotica","Ponera","exotica",1,1,"",NA
"Ponera pennsylvanica","Ponera","pennsylvanica",1,1,"",NA
"Prenolepis imparis","Prenolepis","imparis",1,1,"",NA
"Prionopelta antillana","Prionopelta","antillana",1,0,"need representative for genus",NA
"Proceratium chickasaw","Proceratium","chickasaw",1,1,"not important",NA
"Proceratium crassicorne","Proceratium","crassicorne",1,1,"common species in litter, would be great to have",NA
"Proceratium creek","Proceratium","creek",1,1,"not important",NA
"Proceratium croceum","Proceratium","croceum",1,1,"common species in litter, would be great to have",NA
"Proceratium pergandei","Proceratium","pergandei",1,1,"common species in litter, would be great to have",NA
"Proceratium silaceum","Proceratium","silaceum",1,1,"",NA
"Pseudomyrmex cubaensis","Pseudomyrmex","cubaensis",1,0,"",NA
"Pseudomyrmex ejectus","Pseudomyrmex","ejectus",1,1,"",NA
"Pseudomyrmex elongatus","Pseudomyrmex","elongatus",1,0,"",NA
"Pseudomyrmex gracilis","Pseudomyrmex","gracilis",1,1,"",NA
"Pseudomyrmex leptosus","Pseudomyrmex","leptosus",1,0,"",NA
"Pseudomyrmex pallidus","Pseudomyrmex","pallidus",1,1,"",NA
"Pseudomyrmex seminole","Pseudomyrmex","seminole",1,0,"",NA
"Pseudomyrmex simplex","Pseudomyrmex","simplex",1,0,"",NA
"Solenopsis abdita","Solenopsis","abdita",1,1,"not important",NA
"Solenopsis carolinensis","Solenopsis","carolinensis",1,1,"",NA
"Solenopsis geminata","Solenopsis","geminata",1,1,"",NA
"Solenopsis globularia","Solenopsis","globularia",1,1,"",NA
"Solenopsis invicta","Solenopsis","invicta",1,1,"",NA
"Solenopsis nickersoni","Solenopsis","nickersoni",1,0,"not important",NA
"Solenopsis pergandei","Solenopsis","pergandei",1,1,"not important",NA
"Solenopsis phoretica","Solenopsis","phoretica",1,0,"not important",NA
"Solenopsis picta","Solenopsis","picta",1,1,"not important",NA
"Solenopsis tennesseensis","Solenopsis","tennesseensis",1,1,"not important",NA
"Solenopsis tonsa","Solenopsis","tonsa",1,0,"not important",NA
"Solenopsis zeteki","Solenopsis","zeteki",1,0,"not important",NA
"Stenamma foveolocephalum","Stenamma","foveolocephalum",1,1,"",NA
"Stigmatomma pallipes","Stigmatomma","pallipes",1,1,"",NA
"Strumigenys angulata","Strumigenys","angulata",1,1,"",NA
"Strumigenys apalachicolensis","Strumigenys","apalachicolensis",1,1,"",NA
"Strumigenys archboldi","Strumigenys","archboldi",1,1,"",NA
"Strumigenys boltoni","Strumigenys","boltoni",1,1,"",NA
"Strumigenys bunki","Strumigenys","bunki",1,1,"",NA
"Strumigenys carolinensis","Strumigenys","carolinensis",1,1,"",NA
"Strumigenys cloydi","Strumigenys","cloydi",1,0,"",NA
"Strumigenys clypeata","Strumigenys","clypeata",1,1,"",NA
"Strumigenys creightoni","Strumigenys","creightoni",1,1,"",NA
"Strumigenys dietrichi","Strumigenys","dietrichi",1,1,"",NA
"Strumigenys eggersi","Strumigenys","eggersi",1,1,"",NA
"Strumigenys emmae","Strumigenys","emmae",1,0,"",NA
"Strumigenys gundlachi","Strumigenys","gundlachi",1,0,"",NA
"Strumigenys hexamera","Strumigenys","hexamera",1,0,"",NA
"Strumigenys inopina","Strumigenys","inopina",1,0,"",NA
"Strumigenys laevinasis","Strumigenys","laevinasis",1,1,"",NA
"Strumigenys lanuginosa","Strumigenys","lanuginosa",1,0,"",NA
"Strumigenys louisianae","Strumigenys","louisianae",1,1,"",NA
"Strumigenys margaritae","Strumigenys","margaritae",1,1,"",NA
"Strumigenys membranifera","Strumigenys","membranifera",1,1,"",NA
"Strumigenys missouriensis","Strumigenys","missouriensis",1,1,"",NA
"Strumigenys ohioensis","Strumigenys","ohioensis",1,1,"",NA
"Strumigenys ornata","Strumigenys","ornata",1,1,"",NA
"Strumigenys pilinasis","Strumigenys","pilinasis",1,1,"",NA
"Strumigenys pulchella","Strumigenys","pulchella",1,1,"",NA
"Strumigenys reflexa","Strumigenys","reflexa",1,1,"",NA
"Strumigenys rogeri","Strumigenys","rogeri",1,0,"",NA
"Strumigenys rostrata","Strumigenys","rostrata",1,1,"",NA
"Strumigenys silvestrii","Strumigenys","silvestrii",1,1,"",NA
"Strumigenys talpa","Strumigenys","talpa",1,1,"",NA
"Strumigenys wrayi","Strumigenys","wrayi",1,1,"",NA
"Tapinoma litorale","Tapinoma","litorale",1,0,"not important",NA
"Tapinoma melanocephalum","Tapinoma","melanocephalum",1,1,"",NA
"Tapinoma sessile","Tapinoma","sessile",1,1,"",NA
"Technomyrmex difficilis","Technomyrmex","difficilis",1,1,"",NA
"Temnothorax allardycei","Temnothorax","allardycei",1,0,"",NA
"Temnothorax bradleyi","Temnothorax","bradleyi",1,1,"",NA
"Temnothorax curvispinosus","Temnothorax","curvispinosus",1,1,"",NA
"Temnothorax palustris","Temnothorax","palustris",1,0,"not important",NA
"Temnothorax pergandei","Temnothorax","pergandei",1,1,"",NA
"Temnothorax schaumii","Temnothorax","schaumii",1,1,"",NA
"Temnothorax smithi","Temnothorax","smithi",1,1,"",NA
"Temnothorax texanus","Temnothorax","texanus",1,1,"not important",NA
"Temnothorax torrei","Temnothorax","torrei",1,0,"",NA
"Tetramorium bicarinatum","Tetramorium","bicarinatum",1,1,"",NA
"Tetramorium caldarium","Tetramorium","caldarium",1,0,"",NA
"Tetramorium lanuginosum","Tetramorium","lanuginosum",1,1,"",NA
"Tetramorium simillimum","Tetramorium","simillimum",1,1,"",NA
"Trachymyrmex jamaicensis","Trachymyrmex","jamaicensis",1,0,"",NA
"Trachymyrmex septentrionalis","Trachymyrmex","septentrionalis",1,1,"",NA
"Wasmannia auropunctata","Wasmannia","auropunctata",1,0,"",NA
"Xenomyrmex floridanus","Xenomyrmex","floridanus",1,0,"",NA
"Dolichoderus plagiatus","Dolichoderus","plagiatus",0,1,"not important",NA
"Dolichoderus taschenbergi","Dolichoderus","taschenbergi",0,1,"not important",NA
"Dorymyrmex flavus","Dorymyrmex","flavus",0,1,"not important",NA
"Forelius mccooki","Forelius","mccooki",0,1,"not important",NA
"Neivamyrmex nigrescens","Neivamyrmex","nigrescens",0,1,"",NA
"Camponotus americanus","Camponotus","americanus",0,1,"",NA
"Camponotus chromaiodes","Camponotus","chromaiodes",0,1,"",NA
"Camponotus novaeboracensis","Camponotus","novaeboracensis",0,1,"",NA
"Camponotus subbarbatus","Camponotus","subbarbatus",0,1,"not important",NA
"Formica difficilis","Formica","difficilis",0,1,"not important",NA
"Formica exsectoides","Formica","exsectoides",0,1,"",NA
"Formica fusca","Formica","fusca",0,1,"",NA
"Formica incerta","Formica","incerta",0,1,"",NA
"Formica integra","Formica","integra",0,1,"not important",NA
"Formica obscuriventris","Formica","obscuriventris",0,1,"not important",NA
"Formica subintegra","Formica","subintegra",0,1,"",NA
"Polyergus lucidus","Polyergus","lucidus",0,1,"",NA
"Polyergus ruber","Polyergus","ruber",0,1,"not important",NA
"Lasius claviger","Lasius","claviger",0,1,"",NA
"Lasius flavus","Lasius","flavus",0,1,"",NA
"Lasius murphyi","Lasius","murphyi",0,1,"not important",NA
"Lasius nearcticus","Lasius","nearcticus",0,1,"",NA
"Lasius subglaber","Lasius","subglaber",0,1,"not important",NA
"Strumigenys abdita","Strumigenys","abdita",0,1,"",NA
"Strumigenys deyrupi","Strumigenys","deyrupi",0,1,"",NA
"Strumigenys filirrhina","Strumigenys","filirrhina",0,1,"",NA
"Strumigenys hyalina","Strumigenys","hyalina",0,1,"",NA
"Strumigenys metazytes","Strumigenys","metazytes",0,1,"",NA
"Strumigenys pergandei","Strumigenys","pergandei",0,1,"",NA
"Cardiocondyla nuda","Cardiocondyla","nuda",0,1,"",NA
"Temnothorax americanus","Temnothorax","americanus",0,1,"",NA
"Temnothorax longispinosus","Temnothorax","longispinosus",0,1,"",NA
"Temnothorax tuscaloosae","Temnothorax","tuscaloosae",0,1,"",NA
"Myrmecina cooperi","Myrmecina","cooperi",0,1,"not important",NA
"Myrmica americana","Myrmica","americana",0,1,"",NA
"Myrmica latifrons","Myrmica","latifrons",0,1,"",NA
"Myrmica pinetorum","Myrmica","pinetorum",0,1,"common species in litter, would be great to have",NA
"Myrmica spatulata","Myrmica","spatulata",0,1,"not important",NA
"Aphaenogaster picea","Aphaenogaster","picea",0,1,"",NA
"Aphaenogaster rudis","Aphaenogaster","rudis",0,1,"",NA
"Pheidole davisi","Pheidole","davisi",0,1,"",NA
"Pheidole pilifera","Pheidole","pilifera",0,1,"",NA
"Pheidole tetra","Pheidole","tetra",0,1,"not important",NA
"Monomorium minimum","Monomorium","minimum",0,1,"",NA
"Solenopsis molesta","Solenopsis","molesta",0,1,"",NA
"Solenopsis richteri","Solenopsis","richteri",0,1,"",NA
"Solenopsis texana","Solenopsis","texana",0,1,"not important",NA
"Solenopsis xyloni","Solenopsis","xyloni",0,1,"",NA
"Stenamma brevicorne","Stenamma","brevicorne",0,1,"",NA
"Stenamma diecki","Stenamma","diecki",0,1,"",NA
"Stenamma impar","Stenamma","impar",0,1,"",NA
"Stenamma meridionale","Stenamma","meridionale",0,1,"",NA
"Stenamma schmittii","Stenamma","schmittii",0,1,"",NA
"Tetramorium immigrans","Tetramorium","immigrans",0,1,"",NA
"Tetramorium tsushimae","Tetramorium","tsushimae",0,1,"",NA
"Brachyponera chinensis","Brachyponera","chinensis",0,1,"common species in litter, would be great to have",NA
"Pheidole bilimeki","Pheidole","bilimeki",0,1,"",NA
"Pheidole navigans","Pheidole","navigans",0,1,"this is moerens, we should check genetic data",NA
"Brachyponera obscurans","Brachyponera","obscurans",0,0,"common species in litter, would be great to have","Alternate for Brachyponera chinensis"
"Eurhopalothrix australis","Eurhopalothrix","australis",0,0,"need representative for genus","Alternate for Eurhopalothrix floridana"
"Leptogenys diminuta","Leptogenys","diminuta",0,0,"not important","Alternate for Leptogenys manni"
"Prionopelta amabilis","Prionopelta","amabilis",0,0,"need representative for genus","Alternate for Prionopelta antillana"
"Colobopsis saundersi","Colobopsis","saundersi",0,0,"need representative for genus","Alternate for Colobopsis impressa"
"Proceratium avium","Proceratium","avium",0,0,"common species in litter, would be great to have","Alternate for Proceratium crassicorne"
